constituency_name,local_authority,seats,link_type,la_serves_multiple_constituencies,constituency_multi_la,source_key
Carlow-Kilkenny,Carlow,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Carlow-Kilkenny,Kilkenny,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cavan-Monaghan,Cavan,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Cavan-Monaghan,Monaghan,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Clare,Clare,4,primary,False,False,"Electoral Commission Constituency Review 2023, App. 1"
Cork East,Cork County,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Cork North-Central,Cork City,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cork North-Central,Cork County,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cork North-West,Cork City,3,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cork North-West,Cork County,3,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cork South-Central,Cork City,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cork South-Central,Cork County,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Cork South-West,Cork County,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Donegal,Donegal,5,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Bay North,Dublin City,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Bay North,Fingal,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Bay South,Dublin City,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Central,Dublin City,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Fingal East,Fingal,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Fingal West,Fingal,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Mid-West,South Dublin,5,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin North-West,Dublin City,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin Rathdown,Dun Laoghaire-Rathdown,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin South-Central,Dublin City,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin South-West,South Dublin,5,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Dublin West,Dublin City,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Dublin West,Fingal,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Dún Laoghaire,Dun Laoghaire-Rathdown,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Galway East,Galway County,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Galway West,Galway City,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Galway West,Galway County,5,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Kerry,Kerry,5,primary,False,False,"Electoral Commission Constituency Review 2023, App. 1"
Kildare North,Kildare,5,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Kildare South,Kildare,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Laois,Laois,3,primary,False,False,"Electoral Commission Constituency Review 2023, App. 1"
Limerick City,Limerick,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Limerick County,Limerick,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Longford-Westmeath,Longford,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Longford-Westmeath,Westmeath,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Louth,Louth,5,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Louth,Meath,5,partial,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Mayo,Mayo,5,primary,False,False,"Electoral Commission Constituency Review 2023, App. 1"
Meath East,Meath,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Meath West,Meath,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Offaly,Offaly,3,primary,False,False,"Electoral Commission Constituency Review 2023, App. 1"
Roscommon-Galway,Galway County,3,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Roscommon-Galway,Roscommon,3,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Sligo-Leitrim,Donegal,4,partial,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Sligo-Leitrim,Leitrim,4,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Sligo-Leitrim,Sligo,4,primary,False,True,"Electoral Commission Constituency Review 2023, App. 1"
Tipperary North,Kilkenny,3,partial,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Tipperary North,Tipperary,3,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Tipperary South,Tipperary,3,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Waterford,Waterford,4,primary,False,False,"Electoral Commission Constituency Review 2023, App. 1"
Wexford,Wexford,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Wicklow,Wicklow,4,primary,True,False,"Electoral Commission Constituency Review 2023, App. 1"
Wicklow-Wexford,Wexford,3,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
Wicklow-Wexford,Wicklow,3,primary,True,True,"Electoral Commission Constituency Review 2023, App. 1"
