rate_key,rate_label,rate_type,house,annual_rate_eur,effective_from,source_doc,source_url
td_basic,Basic TD salary,basic,Dáil,113679,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024)",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
senator_basic,Basic Senator salary,basic,Seanad,79614,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024)",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
taoiseach,Taoiseach,office_allowance,,130216,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
tanaiste,Tánaiste,office_allowance,,111294,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
minister,Minister,office_allowance,,92938,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
minister_of_state,Minister of State,office_allowance,,45846,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
ceann_comhairle,Ceann Comhairle,office_allowance,,141834,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
leas_cheann_comhairle,Leas-Cheann Comhairle,office_allowance,,61892,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
cathaoirleach,Cathaoirleach (Seanad),office_allowance,,55886,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
leas_chathaoirleach,Leas-Chathaoirleach (Seanad),office_allowance,,31965,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
leader_seanad,Leader of the Seanad,office_allowance,,25977,2024-12-02,"Houses of the Oireachtas — Guide to Salary and Allowances, 34th Dáil & 27th Seanad (2 Dec 2024), Appendix A",https://data.oireachtas.ie/ie/oireachtas/members/parliamentaryAllowances/other/2024/2024-12-02_guide-to-salary-and-allowances_en.pdf
