period,year,half,index_base_1998h1
# SCSI National Commercial Construction Tender Price Index (base: 1998 H1 = 100.0).
# Source: Society of Chartered Surveyors Ireland (SCSI), as republished in the
# Buildcost Construction Cost Guide (Second Half 2025), Table 2. scsi.ie / buildcost.ie.
# Use: deflate/inflate a €/m2 cost benchmark to a contract's award half-year via
#   rate_in(period) = rate_base * index(period) / index(base_period).
# This is the quantity-surveyor "bring costs to the tender date" method. 2025 H2
# not yet published at ingest (2026-06-11).
1998H1,1998,H1,100.0
1998H2,1998,H2,103.8
1999H1,1999,H1,108.6
1999H2,1999,H2,116.1
2000H1,2000,H1,121.7
2000H2,2000,H2,130.7
2001H1,2001,H1,132.2
2001H2,2001,H2,136.9
2002H1,2002,H1,133.9
2002H2,2002,H2,130.1
2003H1,2003,H1,127.2
2003H2,2003,H2,129.3
2004H1,2004,H1,135.3
2004H2,2004,H2,139.4
2005H1,2005,H1,142.6
2005H2,2005,H2,144.7
2006H1,2006,H1,146.7
2006H2,2006,H2,151.7
2007H1,2007,H1,152.0
2007H2,2007,H2,145.2
2008H1,2008,H1,140.7
2008H2,2008,H2,130.0
2009H1,2009,H1,116.4
2009H2,2009,H2,107.7
2010H1,2010,H1,103.7
2010H2,2010,H2,101.5
2011H1,2011,H1,101.5
2011H2,2011,H2,103.5
2012H1,2012,H1,104.5
2012H2,2012,H2,106.4
2013H1,2013,H1,107.3
2013H2,2013,H2,109.7
2014H1,2014,H1,112.0
2014H2,2014,H2,115.2
2015H1,2015,H1,118.2
2015H2,2015,H2,121.5
2016H1,2016,H1,125.5
2016H2,2016,H2,129.2
2017H1,2017,H1,132.6
2017H2,2017,H2,137.2
2018H1,2018,H1,142.6
2018H2,2018,H2,147.7
2019H1,2019,H1,152.7
2019H2,2019,H2,157.0
2020H1,2020,H1,158.4
2020H2,2020,H2,160.5
2021H1,2021,H1,171.7
2021H2,2021,H2,182.0
2022H1,2022,H1,195.7
2022H2,2022,H2,202.9
2023H1,2023,H1,207.9
2023H2,2023,H2,210.9
2024H1,2024,H1,214.1
2024H2,2024,H2,217.1
2025H1,2025,H1,220.4
